ID,Law_Name,Law_Category,Definition,Product_Type,Application,Design_Test_ID,Pass_Criteria,Anti_Pattern,Severity,Metric,Expected_Impact,Source
UXL-035,Cognitive Load,Cognitive,"Mental resources for interface interaction.",Healthcare App,"Medical info dùng plain language. Visual indicators (color-coded severity). Progressive disclosure cho detailed medical data.",DT-HEALTH-002,"Medical terms accompanied by plain-language explanation AND severity color-coded (green/yellow/red) AND detail on-demand",Dense medical jargon without explanation hoặc no visual severity indicators,Critical,Comprehension,Tăng patient understanding 50%,lawsofux.com
UXL-036,Aesthetic-Usability Effect,Perception,"Beautiful = perceived more usable.",Healthcare App,"Calming color palette (blues/greens). Clean typography. Ample whitespace. No visual clutter. Rounded corners = friendly feel.",DT-HEALTH-003,"Color palette uses calming tones AND whitespace >= 30% screen AND no visual clutter in critical screens",Harsh colors (bright red for non-emergency) hoặc cluttered interface,High,Trust Score,Tăng patient trust 35%,lawsofux.com
UXL-037,Jakob's Law,Mental Model,"Users prefer familiar patterns.",Fintech/Banking,"Standard banking layout: account overview → transactions → transfer. Familiar financial icons. Security indicators consistent.",DT-FIN-001,"Account overview as default screen AND transactions list standard layout AND security indicators (lock icon / https badge) visible",Non-standard financial layout confusing users about money-related actions,Critical,Trust & Safety,Tăng perceived security 40%,lawsofux.com
UXL-038,Doherty Threshold,Performance,"<400ms interaction pace.",Fintech/Banking,"Transaction confirmation < 200ms visual feedback. Real-time balance updates. Skeleton loading cho account data. Optimistic UI cho transfers.",DT-FIN-002,"Transaction feedback < 200ms AND balance update real-time AND skeleton loading for data fetch",Slow balance updates hoặc no feedback during transaction processing,Critical,Transaction Confidence,Tăng transaction confidence 45%,lawsofux.com
UXL-039,Von Restorff Effect,Attention,"Different items remembered most.",Education App,"Highlight key concepts / vocabulary. Important dates visually distinct. Progress milestones celebrated. Quiz answers clearly differentiated.",DT-EDU-001,"Key concepts highlighted (bold/color/icon) AND progress milestones have celebration animation AND quiz options visually distinct",All content same visual weight — nothing stands out,Medium,Learning Retention,Tăng retention 30%,lawsofux.com
UXL-040,Goal-Gradient Effect,Motivation,"Motivation increases near goal completion.",Education App,"Course progress bar always visible. Lesson completion indicators. Streak counters. Near-completion encouragement messages.",DT-EDU-002,"Course progress bar visible AND completion % shown AND streak counter present AND encouragement at > 80% progress",No progress tracking hoặc completion feels undefined,High,Course Completion,Tăng completion rate 45%,lawsofux.com
UXL-041,Chunking,Cognitive,"Breaking info into meaningful groups.",Education App,"Lessons broken into 5-10 min segments. Topics grouped by theme/module. Vocabulary in meaningful categories. Quiz questions chunked.",DT-EDU-003,"Lesson segments <= 10 min AND topics grouped by theme AND quiz <= 10 questions per session",Hour-long undivided lessons hoặc 50-question quizzes,High,Engagement,Tăng lesson engagement 40%,lawsofux.com
UXL-042,Fitts's Law,Motor/Interaction,"Target acquisition = f(distance / size).",Responsive (All),"Breakpoint-aware touch targets: mobile >= 48px / tablet >= 44px / desktop >= 36px. CTA scales proportionally. Navigation adapts to device.",DT-RESP-001,"Touch targets: mobile >= 48px / tablet >= 44px / desktop clickable areas >= 36px AND CTA visible at all breakpoints",Fixed-size touch targets too small on mobile hoặc too large on desktop,Critical,Cross-device Usability,Consistent usability across devices,lawsofux.com
UXL-043,Jakob's Law,Mental Model,"Familiar patterns preferred.",Responsive (All),"Hamburger menu on mobile (widely understood). Tab bar for mobile apps. Sidebar for desktop. Standard responsive patterns.",DT-RESP-002,"Mobile: hamburger/bottom nav AND Tablet: adapted layout AND Desktop: full nav visible AND breakpoints: 375/768/1024/1440px",Same navigation pattern forced across all breakpoints,High,Cross-device Navigation,Navigation familiar per device type,lawsofux.com
UXL-044,Cognitive Load,Cognitive,"Mental resources for understanding.",Responsive (All),"Reduce content per viewport on smaller screens. Priority-based content display. Hide non-essential elements on mobile. Lazy load below-fold.",DT-RESP-003,"Mobile shows priority content first AND non-essential elements hidden or collapsed AND images lazy-loaded below-fold",Cramming desktop content into mobile viewport without prioritization,Critical,Mobile Performance,Tăng mobile engagement 35%,lawsofux.com
UXL-045,Selective Attention,Cognitive,"Focus on goal-related stimuli.",Restaurant/Food Service,"Menu categories prominent. Photos high-quality và appetizing. Order button always visible. Dietary filters (vegetarian/vegan/allergen) easy to find.",DT-FOOD-001,"Menu categories visible AND food photos present AND order/booking CTA sticky AND dietary filters accessible within 1 tap",No food photos hoặc categories hidden hoặc order button hard to find,High,Order Rate,Tăng online order rate 35%,lawsofux.com
UXL-046,Law of Prägnanz,Gestalt,"Simplest interpretation preferred.",Real Estate,"Property cards: clean layout với 1 hero photo + key info (price/beds/baths/sqft). Map view simple markers. Filter interface clean.",DT-REAL-001,"Property card shows hero image + price + key features (beds/baths/area) AND map markers clear AND filter interface <= 8 visible options",Cluttered property cards với too much info hoặc complex map overlays,Medium,Property Discovery,Tăng listing engagement 30%,lawsofux.com
UXL-047,Aesthetic-Usability Effect,Perception,"Beautiful = usable.",Luxury/Premium,"Premium materials feel: subtle shadows + refined typography + generous whitespace. Gold/black accents. High-res imagery. Slow elegant animations.",DT-LUX-001,"Typography: serif heading font AND whitespace >= 40% AND animations duration 300-500ms AND image quality >= 2x retina",Cheap-looking design: low-res images / system fonts / cramped spacing,Critical,Brand Perception,Tăng perceived brand value 50%,lawsofux.com
UXL-048,Flow,Engagement,"Full immersion state.",Gaming,"Zero-interruption during gameplay. HUD fade khi not needed. Seamless level transitions. Audio-visual feedback synchronized.",DT-GAME-006,"No popup interruptions during active gameplay AND HUD auto-fades after 3s inactivity AND transitions smooth (no loading screens > 2s)",Popup ads/notifications during gameplay hoặc jarring loading screens,Critical,Immersion,Tăng session duration 50%,lawsofux.com
