Category,Pattern,Keywords,Description,Do,Don't,Code_Good,Code_Bad,Severity,Breakpoints
Layout,Sidebar Responsive Pattern,sidebar responsive collapse hamburger,Handle sidebar visibility across screen sizes,Overlay/drawer on mobile + persistent on desktop,Hiding entire navigation on mobile,"@media (max-width: 768px) { .sidebar { position:fixed; transform:translateX(-100%); } }","display:none on mobile",High,"768"
Layout,Stack to Horizontal,stack horizontal mobile desktop row column,Convert vertical stack to horizontal layout at wider viewports,flex-direction: column on mobile → row on desktop,Separate components for mobile and desktop,"flex-direction: column; @media (min-width:768px) { flex-direction: row; }","Two separate divs for mobile/desktop",Medium,"768"
Images,Responsive Images,responsive images srcset sizes picture art direction,Serve appropriately sized images for each viewport,srcset + sizes for automatic resolution switching,Same large image at all sizes,"<img srcset='sm.jpg 480w md.jpg 768w lg.jpg 1200w' sizes='(max-width:768px) 100vw 50vw'>","<img src='large-4000px.jpg'>",High,"all"
Images,Art Direction,art direction picture source media crop,Use different image crops/compositions for different viewports,<picture> with <source> for different aspect ratios,Same landscape photo cropped badly on mobile,"<picture><source media='(max-width:768px)' srcset='portrait.jpg'><img src='landscape.jpg'></picture>","Same image everywhere with object-fit:cover",Medium,"768"
Images,Aspect Ratio Responsive,aspect-ratio responsive image video,Maintain aspect ratios across viewports,aspect-ratio property for consistent proportions,Hardcoded width/height that distorts on resize,"aspect-ratio: 16/9; width: 100%;","width: 640px; height: 360px;",Medium,"all"
Touch,Touch Target Size,touch target size finger tap 44px 48px,Ensure interactive elements are large enough for touch (≥44×44px),min-height: 44px min-width: 44px on all interactive elements on mobile,Small buttons or links with <32px touch area,"min-height: 44px; min-width: 44px;","height: 24px; width: 24px; /* on mobile */",High,"<768"
Touch,Touch vs Pointer,touch pointer hover media query,Differentiate touch and pointer input for interaction patterns,@media (hover: hover) for hover-dependent features,Relying on :hover for essential functionality,"@media (hover: hover) { .tooltip:hover { display:block } }",":hover { display:block } /* breaks touch */",High,"all"
Touch,Touch Spacing,touch spacing gap clickable elements,Ensure adequate spacing between touch targets,min 8px gap between adjacent interactive elements,Tightly packed buttons/links on mobile,"gap: 12px; /* between touch targets */","gap: 2px; /* between buttons on mobile */",High,"<768"
Orientation,Orientation Handling,orientation landscape portrait rotate,Handle both portrait and landscape orientations,Use orientation media query for layout adjustments,Locking to portrait-only in web apps,"@media (orientation: landscape) { .hero { height: 100vh; } }","/* No landscape handling */",Medium,"mobile tablet"
Orientation,Viewport Height,viewport height dvh svh lvh 100vh,Use dynamic viewport height units to handle mobile browser chrome,dvh for elements that should fill visible area,100vh which doesn't account for mobile browser bars,"height: 100dvh;","height: 100vh; /* broken on mobile Safari */",High,"mobile"
Device,Retina Display,retina hidpi device-pixel-ratio resolution,Serve higher resolution assets for retina/HiDPI displays,Use 2x/3x images for HiDPI or SVG for icons,1x raster images on retina screens,"@media (min-resolution: 2dppx) { background-image: url(hero@2x.png); }","/* Same 1x images everywhere */",Medium,"all"
Device,Print Styles,print media stylesheet,Include print-specific styles for content pages,@media print for clean printable output,Ignoring print styles entirely,"@media print { nav footer .no-print { display:none; } body { font-size: 12pt; } }","/* No print styles */",Low,"desktop"
Performance,CSS Containment,contain layout size paint performance,Use CSS containment for rendering performance,contain: layout style for isolated components,No containment on large pages with many elements,"contain: layout style;","/* No containment */",Medium,"all"
